Job Title,Company,Job Link,Extracted Text,index
Business Development Manager-StationaryKiddies & Toy International (Pvt) Ltd,Kiddies & Toy International (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231032&pg=index.jsp,"The job vacancy is for a Business Development Manager- Stationary at Kiddies & Toys International. The responsibilities include creating comprehensive business plans, analyzing competitors and market trends, developing and implementing effective sales strategies, identifying new clients and partners, collaborating with the marketing team on promotional campaigns, preparing sales presentations and contracts, and managing the company's profit and loss effectively. The requirements for the role include a minimum of 5 years of sales and marketing experience with at least 2 years in a managerial role, excellent communication, negotiation, and interpersonal skills, experience with ERP systems, ability to work under pressure and meet deadlines, a degree in Business Administration/Marketing or a related field, and strong analytical skills.",18
Production Supervisor - Food Industry (Spices)Garumuni Foods (Pvt) Ltd,Garumuni Foods (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231027&pg=index.jsp,"The job vacancy is for a highly capable individual with knowledge and experience in food processing and manufacturing of spices. The candidate must have at least 5 years of experience in spice processing and pre-cleaning, as well as knowledge of overseeing production processes and managing factory workers. Strong analytical skills and familiarity with food safety certifications are required. The ideal candidate should be a male between the ages of 30-60 and have the opportunity for career advancement within the company. Interested applicants can apply with their CV to garumuniteggmail.com.",19
Chartered Architects / Graduate ArchitectsCivil & Structural Engineering Consultants International (Pvt) Ltd,Civil & Structural Engineering Consultants International (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231023&pg=index.jsp,"The company is looking to hire Graduate Architects with a minimum of one year experience working under a Chartered Architect or a reputed architectural consultancy firm. They should have sound knowledge of construction related issues, building, and planning regulations. Experience in reviewing and preparing approval, tender, and construction drawings is required. High computer literacy and knowledge of AutoCAD, SketchUp, Photoshop, and Lumion are essential, with knowledge of Revit being an added advantage. Strong communication skills in English and Sinhala languages are necessary, and candidates should be committed, self-motivated, and able to work on multiple projects simultaneously. Salary is negotiable. Interested candidates should send their applications to careers@cgecra.com within 7 days of this advertisement, clearly stating the position applied for in the email subject.",20
Hotel Vacancies Shanghai Hotel,Shanghai Hotel,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231016&pg=index.jsp,"The job vacancy at Shanghai Hotel in Ratmalana includes positions for a Cook, Store and Purchasing Officer, Cashier Cum Steward, Delivery Riders, and Kitchen Helpers. Job requirements vary, but generally include relevant experience in the field, age limits, and specific skills such as a valid driver's license for Delivery Riders. Responsibilities for each position include preparing and cooking food, managing inventory, handling cash transactions, making deliveries, and assisting in the kitchen as needed. Interested candidates are encouraged to submit their CV along with academic qualifications and previous experience for consideration.",21
Senior Service Advisor Glitz Park (Pvt) Ltd,Glitz Park (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231012&pg=index.jsp,"The company SPST is seeking Senior Service Advisors for their automotive repair facility in Yakkala. The ideal candidates should have proven work experience in a similar role, a strong understanding of automotive technology, proficiency with industry-specific software, excellent customer service and communication skills, strong decision-making and problem-solving abilities, and relevant training or certifications. Interested candidates can send their resume to the provided email address.",22
Deputy Brand Manager The Institute of Chartered Accountants of Sri Lanka,The Institute of Chartered Accountants of Sri Lanka,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231008&pg=index.jsp,"The job vacancy is for a Deputy Brand Manager. The job requirements include experience in brand management, strong communication skills, and the ability to work on multiple projects simultaneously. Responsibilities include developing and implementing marketing strategies, managing brand campaigns, and analyzing market trends. Interested candidates are requested to send their resumes to careers@casrilanka.org by June 24, 2024. Only shortlisted candidates will be contacted for further information.",23
Branch Manager - Negombo/MataraUB Finance PLC,UB Finance PLC,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231003&pg=index.jsp,"The job vacancy is for a Branch Manager at CQ UB FINANCE in Matara. The candidate should have active budgeted business volumes and targets for lending and investment products, evaluate and recommend credit files, maintain recovery ratios, and NPLs, oversee branch operations and administration, recruit and develop a high-performing team. The ideal candidate should be 30-45 years old, male, have a qualification in Marketing/Credit Management, 3 years of managerial experience in the financial services sector, excellent communication skills, and computer literacy. A valid driving license is required. Interested candidates can send their CV to careers@ubf.lk with the subject ""Branch Manager - Negombo | Matara.""",24
Assistant Finance Manager/ AccountantCo - operation Insurance Company PLC,Co - operation Insurance Company PLC,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230990&pg=index.jsp,"The job vacancy is for an Assistant Finance Manager position at a Co-operative Insurance Company. The candidate must have a background in ACCA-CA and at least 5 years of experience in finance. Responsibilities include financial analysis, budgeting, and financial reporting. Strong communication and analytical skills are also required for this role.",25
Senior Executive - CommercialA B Manufacturing (Pvt) Ltd,A B Manufacturing (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230984&pg=index.jsp,"The job vacancy is for a Senior Executive - Commercial at AB Manufacturing (Pvt) Ltd. The responsibilities include procurement and supply chain management, overseeing supplier selection, evaluation, and vendor creation processes, ensuring timely supply of locally sourced raw and packaging materials, and managing procurement policies and procedures. The ideal candidate should have a degree in Economics, Finance, or Supply Chain Management, at least 5 years of experience in procurement, and excellent communication and organizational skills. Interested candidates can submit their updated resume to dulesha@abansgroup.com with the subject line ""Senior Executive - Commercial"".",26
Deputy Manager - Business AnalystDomino's Pizza Sri Lanka,Domino's Pizza Sri Lanka,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230979&pg=index.jsp,"The job vacancy is for a Deputy Manager - Business Analyst at Domino's Pizza in Sri Lanka. The responsibilities include planning and managing team goals, supervising projects, analyzing data for business expansion, conducting sales analysis, and collaborating with teams to support data-driven decision-making processes. The candidate must have a Bachelor's degree/MBA in data science, statistics, mathematics, or a related field, proven experience in data analysis, expertise in data analysis tools, strong communication skills, and experience in the food service industry or related fields is a plus.",27
Korean Speakers Wavtech,Wavtech,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230967&pg=index.jsp,"The company is hiring Client Support Executives who are fluent in Korean language and have extensive international experience. The job offers a salary and commissions up to 300,000 LKR, accelerated career growth, and a modern workplace with top technology. Interested candidates can apply by contacting 074 393 7868 or 074 393 7869 or emailing hr@wavetechc.com.",28
Executive - Academic Registrar's Office Skills College of Technology,Skills College of Technology,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230962&pg=index.jsp,"The job vacancy is for an Executive position in the Academic Registrar's Office at a college of technology. The job responsibilities include managing academic records, coordinating student registration and enrollment, and ensuring compliance with academic policies and regulations. The job requirements include a bachelor's degree in a related field, experience in academic administration, strong organizational and communication skills, and proficiency in computer applications. Interested candidates can send their CV to hr@skillscollege.Ik.",29
Senior Executive - Branch CoordinationAbans Finance PLC,Abans Finance PLC,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230954&pg=index.jsp,"The Senior Executive - Branch Coordination position at Abans Finance PLC requires a candidate with a minimum of a Bachelor's Degree/HND or its equivalent, at least 2 years of experience in a relevant area preferably in the Banking/Non-Banking sector, strong organizational and time management skills, knowledge of policies and procedures in the Non-Banking finance sector, good communication skills in both Sinhala and English, analytical and problem-solving skills, self-motivation, and proficiency in Microsoft Word and Excel. Responsibilities include providing reporting and analysis on branch administration, coordinating and communicating across branch network and operational departments, maintaining effective administrative support systems, supporting planning activities for the branch, and recommending solutions to senior management.",30
Assistant Accountant / Accounts Assistant Merc - Stop,Merc - Stop,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230928&pg=index.jsp,"The job vacancy is for an Assistant Accountant position. Key responsibilities include handling financial transactions, preparing financial reports, and assisting with budget preparation. The ideal candidate should have previous experience in accounting and be able to work well in a team environment. Competitive benefits are offered. Applicants must have at least 4 years of related experience. The position is located at Mere Stop Automotive Solutions in Colombo 06. Contact information: 077 312 4434.",31
Crew MemberRoots Global Private Limited,Roots Global Private Limited,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230913&pg=index.jsp,"The job vacancy requires a candidate with experience in game development. The responsibilities include creating and implementing game features, debugging and optimizing code, and collaborating with other team members. Strong knowledge of programming languages such as C++ and Unity is necessary.",32
Finance ExecutivePure Herbs & Spices (Pvt) Ltd,Pure Herbs & Spices (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230903&pg=index.jsp,"The job vacancy is for a Finance Executive position. The job requirements include a Bachelor's degree in Finance or related field, proficiency in Microsoft Office Suite, and strong analytical and communication skills. Responsibilities for the role include managing financial transactions, preparing financial reports, and analyzing financial data to assist in decision-making. The ideal candidate should have experience in financial analysis and be detail-oriented. The position is open to female candidates only.",33
CoordinatorLush Skin Clinique,Lush Skin Clinique,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230897&pg=index.jsp,"The job vacancy is for a Coordinator at Lush Skin Clinique in Sri Lanka. Responsibilities include managing reception duties, coordinating with customers, handling cash transactions, and preparing reports. The ideal candidate should have experience in customer service, strong communication skills, proficiency in computer literacy, and knowledge of the beauty industry. Interested candidates can apply by sending their CV to hr@lookamazinglk.com.",34
"Manager - Advocacy and Legal Advice Center (ALAC), Colombo Transparency International Sri Lanka (TISL)",Transparency International Sri Lanka (TISL),https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230880&pg=index.jsp,"The job vacancy is for the position of Manager - Advocacy & Legal Advice Centre in Colombo. The responsibilities include providing legal advice and support to victims and witnesses of corruption, building and maintaining relationships with stakeholders working on corruption-related issues, establishing a network of individuals to support the Legal Advice Centre, and engaging in knowledge-generation activities. Fluency in at least one local language and English, as well as a good understanding of anti-corruption and governance language in Sri Lanka, are required. Application deadline is 1st July 2024.",35
Head of Customs ClearanceInter Freight Forwarding Service Pvt Ltd,Inter Freight Forwarding Service Pvt Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230876&pg=index.jsp,"The job vacancy is for a Head of Customs Clearance at a Custom Brokerage company. The main responsibilities include leading and overseeing all customs clearance activities for imported and exported goods, ensuring compliance with customs regulations, managing a team of customs clearance specialists, coordinating with clients and government agencies, and optimizing clearance procedures for timely delivery of goods. Qualifications include industry experience of 5-10 years, HS identification, and a Customs House Agent Pass (CHA).",36
Executive - Internal AuditPeoples Insurance PLC,Peoples Insurance PLC,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230870&pg=index.jsp,"The job vacancy at Y People's Insurance requires candidates to have strong leadership skills, excellent communication abilities, and experience in customer care and human resources development. Responsibilities include managing teams, implementing new strategies, and ensuring customer satisfaction. Applicants must also be able to work efficiently under pressure and have a strong attention to detail.",37
Manager - Customer Care Sarvodaya Development Finance PLC,Sarvodaya Development Finance PLC,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230861&pg=index.jsp,"The job vacancy is for a Customer Care Manager at a financial services company. Responsibilities include leading a team to deliver exceptional customer service, developing customer care strategies, addressing customer complaints, conducting training sessions, and collaborating with other departments. Requirements include a Bachelor's degree in Business or related field, 5+ years of experience in customer care in the financial services industry, strong understanding of financial services and regulatory requirements, communication, leadership, and analytical skills, and experience with CRM software and data analysis tools. Interested candidates can apply by emailing their resumes to careers@sdf.lk.",38
Marketing Coordinator Interia (Pvt) Ltd,Interia (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230844&pg=index.jsp,"The job vacancy is for a Marketing Coordinator position. The responsibilities include coordinating marketing campaigns, analyzing market trends, creating marketing materials, and collaborating with the sales team. The requirements for the job include a bachelor's degree in marketing or a related field, experience in marketing, strong communication skills, and proficiency in marketing tools and software.",39
Assistant Manager / Manager - Quality AssuranceEmjay International (Pvt) Ltd,Emjay International (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230831&pg=index.jsp,"The job vacancy is for an Assistant Manager / Manager - Quality Assurance at a leading apparel manufacturer in Sri Lanka. The candidate must have a degree in Fashion Technology or a related field, with at least 8 years of experience in the apparel industry. Responsibilities include ensuring quality control measures are met and implementing quality assurance procedures. Interested candidates should submit their resume and 2 recent photographs within 14 days of the advertisement.",40
Production SupervisorRancrisp Marketing (Pvt) Ltd,Rancrisp Marketing (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230815&pg=index.jsp,"The job vacancy is for a Production Supervisor located in Ja-ela. The responsibilities include managing all operators in production, minimizing product wastage, meeting daily production targets, ensuring product quality and quantity, and maintaining production-related documents. The qualifications include at least one year of experience in food manufacturing, passing GCE AL exams, knowledge of quality management systems, and proficiency in Microsoft Office packages. If interested, candidates can send their resume with references to the provided address or email.",41
Purchasing ExecutiveMahogany Masterpieces (Pvt) Ltd,Mahogany Masterpieces (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230811&pg=index.jsp,"The job vacancy is for a Purchasing Executive with the following requirements: Bachelor's degree or diploma in Logistics, Supply Chain Management or a relevant field, minimum of two years experience in a purchasing or procurement role, excellent communication skills, strong negotiation abilities, computer literacy, and references. Responsibilities include dealing with suppliers, negotiating terms and prices, and securing advantageous pricing and contracts. Age below 40 years. Contact hr@mahoganymasterpieces.com to apply.",42
Hotel Vacancies Cassandra Culture Resort,Cassandra Culture Resort,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230804&pg=index.jsp,"The job vacancies at Cassandra Culture Resort include positions such as Front Office Manager, Assistant Front Office Manager, Front Office Executive, Guest Relations Executive, Reservations Executive, Senior Receptionist, Receptionist, Bell Boys, Hotel Driver, Chef de Partie, Commis - Pastry, and Kitchen Stewarding Staff. Applicants must have a minimum of 2 years of experience in the relevant field and professional qualifications. Responsibilities include managing front office operations, handling guest relations, making reservations, assisting with reception duties, and maintaining cleanliness in the kitchen. Interested candidates can send their CV to hello@srilankanexperiencezone.com.",43
Project Management TraineeAaron's Clothing,Aaron's Clothing,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230799&pg=index.jsp,"The job vacancy is for a Project Management Trainee in the garment industry. The ideal candidate will assist in coordinating with factories, handling clients, sorting orders, sourcing fabrics, maintaining public relations, and supporting the General Manager. No formal qualifications are required, but school leavers under 30 are encouraged to apply. Candidates should have experience in team sports, basic computer skills, strong organizational skills, excellent communication skills, and a passion for the garment industry. The role offers comprehensive training, mentorship, exposure to project management in the garment industry, career growth opportunities, and a competitive salary and benefits package.",44
Manager - Engineering & SafetyIndustrial Stainless Steel Fabrications (Pvt) Ltd,Industrial Stainless Steel Fabrications (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230546&pg=index.jsp,"The job vacancy is for a Manager in Engineering & Safety. The ideal candidate should have a degree in Engineering from a recognized university and at least 10 years of experience in an automated environment. They should possess excellent skills in modern maintenance practices and be familiar with quality systems such as ISO 9001. Responsibilities include managing the maintenance and repair of processes, ensuring efficient and safe operation of all equipment, and negotiating terms with manufacturing agents and service contracts. The candidate should also oversee the implementation of health and safety, energy control, and management objectives. Experience with automation projects and digital transformation will be advantageous. Interested candidates should send their CV to hrdik@isfindustries.com within 7 days.",45
Digital Marketing SpecialistMedihelp Hospital,Medihelp Hospital,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001228526&pg=index.jsp,"The job vacancy is for a Digital Marketing Specialist at a hospital. The qualifications and experience required for the role include strong communication skills, experience in digital marketing, and the ability to manage social media platforms. Responsibilities may include creating and implementing digital marketing strategies, managing online advertising campaigns, and analyzing data to improve marketing efforts.",46
Sous ChefCompany Name Withheld,Company Name Withheld,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001227752&pg=index.jsp,"The job vacancy is for a Sous Chef at a bakery chain in Colombo. Responsibilities include directing food preparation, developing new recipes, training staff, overseeing kitchen operations, and ensuring food quality. Qualifications include a diploma or NVQ level qualification, minimum 3 years of experience, knowledge of hot kitchen, bakery, and pastry range, computer literacy, communication and leadership skills, and ability to work under pressure. Submit CV to the provided email address.",47
Commercial Executive - Import & ExportStatesman Hats (Pvt) Ltd,Statesman Hats (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230748&pg=index.jsp,"The job vacancy is for a Commercial Executive in Import Export. The responsibilities include managing import and export operations, coordinating with suppliers and customers, ensuring compliance with regulations, and developing new business opportunities. The requirements for the position include a minimum of 3 years of experience in import and export operations, strong communication and negotiation skills, knowledge of customs regulations, and the ability to work in a fast-paced environment. Applicants living close to Wattala and Ja Ela are encouraged to apply. Interested candidates should send their CV with the post applied for and salary expectations mentioned in the subject line to statesman-careers@lwreid.com.au.",48
HR Executive / HR AssistantWilton Metal Box Co. (Pvt) Ltd,Wilton Metal Box Co. (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230053&pg=index.jsp,The Wilton Metal Box Co. (Pvt) Ltd is currently seeking candidates for the positions of HR Executive and HR Assistant. Suitable candidates should have a strong understanding of HR practices and be able to work in close proximity to Pilivandala. Immediate availability is a plus. Interested individuals should submit their CVs by email before 24/06/2024.,49
Software Developers/ IT & Network Officers / Senior Manager - Forensic InvestigationsSLT Mobitel,SLT Mobitel,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001230048&pg=index.jsp,"The job vacancy is for a Corporate Manager at Talent Management. The key responsibilities include managing talent acquisition, development programs, performance improvement, career growth initiatives, employee engagement, and compensation strategy. The ideal candidate should have a degree in Human Resources Management, Business Administration, or a related field, with at least four years of experience in talent management. Additionally, strong communication and interpersonal skills are required. The vacancy also includes positions for Software Developers/IT & Network Officers and Marketing Officers, each with specific qualifications and experience requirements. The Senior Manager position in Forensic Investigations requires expertise in computer science, data analysis, and forensic investigations, with a minimum of five years of experience.",50
